#TE	Order	Superfamily	Clade	Complete	Strand	Domains
scaffold_100_(dbseq-nr_99)_[270253,278108]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_100_(dbseq-nr_99)_[40334,45903]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|oryco RT|copia RNaseH|sire
scaffold_100_(dbseq-nr_99)_[433880,440180]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_101_(dbseq-nr_100)_[149834,154831]	LTR	Copia	tork	no	+	AP|pseudovirus INT|tork RT|tork RNaseH|copia
scaffold_101_(dbseq-nr_100)_[15976,24203]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_101_(dbseq-nr_100)_[24410,30912]	LTR	Gypsy	17_6	no	-	RNaseH|17_6
scaffold_101_(dbseq-nr_100)_[425211,431923]	LTR	Copia	tork	no	+	INT|tork RT|tork RNaseH|sire
scaffold_101_(dbseq-nr_100)_[431926,438395]	LTR	Copia	copia	no	-	AP|ty1/copia INT|retrofit RT|copia RNaseH|copia
scaffold_102_(dbseq-nr_101)_[110608,115375]	mixture	mixture	mixture	unknown	+	GAG|v_clade AP|dtg_ilg_template
scaffold_102_(dbseq-nr_101)_[121069,127581]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_102_(dbseq-nr_101)_[161485,175359]	LTR	Copia	mixture	no	-	INT|oryco RNaseH|sire
scaffold_102_(dbseq-nr_101)_[256855,264292]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|sire
scaffold_102_(dbseq-nr_101)_[282926,286039]	LTR	Copia	tork	no	-	INT|tork
scaffold_102_(dbseq-nr_101)_[295274,302008]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_102_(dbseq-nr_101)_[304864,310782]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|1731 RNaseH|sire
scaffold_102_(dbseq-nr_101)_[325383,335209]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_102_(dbseq-nr_101)_[362255,367616]	LTR	Copia	sire	no	+	AP|ty1/copia INT|copia RT|sire RNaseH|sire
scaffold_102_(dbseq-nr_101)_[374292,379250]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|v_clade
scaffold_102_(dbseq-nr_101)_[418443,425261]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|oryco RT|pseudovirus RNaseH|codi_d
scaffold_102_(dbseq-nr_101)_[450010,456147]	LTR	Copia	tork	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|tork
scaffold_102_(dbseq-nr_101)_[83206,89012]	LTR	Gypsy	mixture	no	+	RNaseH|del INT|gmr1
scaffold_103_(dbseq-nr_102)_[172120,177544]	mixture	mixture	mixture	unknown	+	AP|cog5550 RT|reina RNaseH|crm INT|gmr1
scaffold_103_(dbseq-nr_102)_[198900,206606]	LTR	Gypsy	mixture	no	+	AP|17_6 RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_103_(dbseq-nr_102)_[237091,246444]	LTR	Gypsy	mixture	no	+	RNaseH|17_6 RT|reina INT|osvaldo
scaffold_103_(dbseq-nr_102)_[260551,268436]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_103_(dbseq-nr_102)_[294012,296981]	LTR	Gypsy	mixture	no	+	RT|v_clade RNaseH|pyret
scaffold_103_(dbseq-nr_102)_[298076,302912]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|v_clade
scaffold_103_(dbseq-nr_102)_[343826,348765]	LTR	Copia	sire	no	-	AP|ty1/copia INT|oryco RT|sire RNaseH|sire
scaffold_103_(dbseq-nr_102)_[385653,393961]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|tork RT|1731 RNaseH|copia
scaffold_103_(dbseq-nr_102)_[401616,407319]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|copia
scaffold_103_(dbseq-nr_102)_[430263,435508]	LTR	Copia	mixture	no	+	INT|tork RT|1731 RNaseH|copia
scaffold_103_(dbseq-nr_102)_[436655,441581]	LTR	Gypsy	v_clade	no	-	GAG|v_clade AP|v_clade
scaffold_103_(dbseq-nr_102)_[60369,65139]	LTR	Gypsy	17_6	no	+	RNaseH|17_6
scaffold_103_(dbseq-nr_102)_[72992,76950]	LTR	Gypsy	v_clade	no	-	GAG|v_clade AP|v_clade
scaffold_103_(dbseq-nr_102)_[82390,88236]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_104_(dbseq-nr_103)_[163040,168477]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|tork RT|pCretro RNaseH|sire
scaffold_104_(dbseq-nr_103)_[196370,203950]	LTR	Copia	copia	no	-	AP|ty1/copia INT|tork RT|copia RNaseH|copia
scaffold_104_(dbseq-nr_103)_[302790,310666]	LTR	Gypsy	v_clade	no	?	RNaseH|v_clade INT|v_clade CHR|retroelement RT|reina
scaffold_104_(dbseq-nr_103)_[317457,321108]	LTR	Gypsy	reina	no	-	RT|reina
scaffold_104_(dbseq-nr_103)_[325862,330560]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|v_clade
scaffold_104_(dbseq-nr_103)_[343512,356223]	LTR	Gypsy	v_clade	no	?	RT|reina RNaseH|cer2-3 INT|tat AP|v_clade GAG|v_clade
scaffold_104_(dbseq-nr_103)_[34635,40293]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|tork RNaseH|copia
scaffold_104_(dbseq-nr_103)_[371573,378453]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_104_(dbseq-nr_103)_[395261,402829]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_104_(dbseq-nr_103)_[403636,411192]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_104_(dbseq-nr_103)_[435202,439856]	LTR	Gypsy	v_clade	no	-	GAG|v_clade AP|v_clade
scaffold_104_(dbseq-nr_103)_[444146,449389]	LTR	Copia	tork	no	+	AP|retrofit INT|tork RT|tork RNaseH|copia
scaffold_105_(dbseq-nr_104)_[120135,125456]	LTR	Copia	tork	no	+	AP|ty1/copia INT|tork RT|tork RNaseH|copia
scaffold_105_(dbseq-nr_104)_[153939,157451]	LTR	Gypsy	v_clade	no	-	GAG|v_clade INT|v_clade
scaffold_105_(dbseq-nr_104)_[165200,171219]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_105_(dbseq-nr_104)_[175565,180855]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|copia
scaffold_105_(dbseq-nr_104)_[184523,191249]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_105_(dbseq-nr_104)_[191994,197471]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|sire
scaffold_105_(dbseq-nr_104)_[206089,209802]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit
scaffold_105_(dbseq-nr_104)_[261607,267749]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_105_(dbseq-nr_104)_[269521,274951]	LTR	Gypsy	17_6	no	-	RNaseH|17_6
scaffold_105_(dbseq-nr_104)_[292910,300302]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_105_(dbseq-nr_104)_[334506,341378]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|sire RT|copia
scaffold_105_(dbseq-nr_104)_[364496,370411]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|1731 RNaseH|codi_d
