#TE	Order	Superfamily	Clade	Complete	Strand	Domains
scaffold_100_(dbseq-nr_99)_[146637,158418]	LTR	Copia	retrofit	no	-	AP|retrofit
scaffold_100_(dbseq-nr_99)_[18,7016]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_100_(dbseq-nr_99)_[220544,227091]	LTR	Copia	sire	no	-	AP|ty1/copia INT|tork RT|sire RNaseH|sire
scaffold_100_(dbseq-nr_99)_[549711,555687]	LTR	Copia	copia	no	-	AP|ty1/copia INT|retrofit RT|copia RNaseH|copia
scaffold_100_(dbseq-nr_99)_[686404,694215]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_100_(dbseq-nr_99)_[7026,13199]	LTR	Gypsy	v_clade	no	-	AP|dtg_ilg_template RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_101_(dbseq-nr_100)_[177214,184639]	LTR	Copia	copia	no	+	RNaseH|copia
scaffold_101_(dbseq-nr_100)_[513977,520034]	LTR	mixture	mixture	unknown	-	AP|ty1/copia ORFX|betaretroviridae INT|sire RT|hydra RNaseH|copia
scaffold_101_(dbseq-nr_100)_[527257,537170]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|a_clade INT|gmr1
scaffold_101_(dbseq-nr_100)_[545115,550363]	LTR	Copia	sire	no	-	AP|pseudovirus INT|tork RT|sire RNaseH|sire
scaffold_101_(dbseq-nr_100)_[585100,591019]	LTR	Gypsy	v_clade	no	-	GAG|v_clade INT|v_clade CHR|all
scaffold_101_(dbseq-nr_100)_[659251,665188]	LTR	Copia	retrofit	no	-	AP|retrofit INT|retrofit RT|1731 RNaseH|copia
scaffold_101_(dbseq-nr_100)_[677885,683536]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|tork RNaseH|copia
scaffold_102_(dbseq-nr_101)_[205762,212775]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_102_(dbseq-nr_101)_[223049,230159]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_102_(dbseq-nr_101)_[232929,240006]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_102_(dbseq-nr_101)_[244580,252591]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_102_(dbseq-nr_101)_[32434,38071]	LTR	Copia	tork	no	+	AP|tork INT|tork RT|tork RNaseH|copia
scaffold_102_(dbseq-nr_101)_[593784,601793]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_102_(dbseq-nr_101)_[601961,610683]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_102_(dbseq-nr_101)_[632424,641420]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_102_(dbseq-nr_101)_[657297,664081]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_102_(dbseq-nr_101)_[665612,672779]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|del INT|tat
scaffold_102_(dbseq-nr_101)_[675098,678988]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|17_6
scaffold_103_(dbseq-nr_102)_[1149,9169]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_103_(dbseq-nr_102)_[212238,218601]	LTR	Copia	copia	no	-	AP|ty1/copia INT|tork RT|copia RNaseH|copia
scaffold_103_(dbseq-nr_102)_[326565,335251]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_103_(dbseq-nr_102)_[355562,363231]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|17_6 INT|gmr1
scaffold_103_(dbseq-nr_102)_[368921,375685]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|del INT|gmr1
scaffold_103_(dbseq-nr_102)_[486224,498510]	LTR	Copia	mixture	no	-	RT|copia RNaseH|sire
scaffold_103_(dbseq-nr_102)_[608927,622662]	LTR	Copia	tork	no	-	RT|tork
scaffold_104_(dbseq-nr_103)_[16866,23648]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_104_(dbseq-nr_103)_[239652,244212]	LTR	Copia	tork	no	+	AP|ty1/copia INT|tork RT|tork RNaseH|sire
scaffold_104_(dbseq-nr_103)_[249045,255672]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_104_(dbseq-nr_103)_[387535,393451]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|gypsy INT|gmr1
scaffold_104_(dbseq-nr_103)_[397535,403488]	LTR	Gypsy	v_clade	no	-	GAG|v_clade INT|v_clade CHR|all
scaffold_104_(dbseq-nr_103)_[412015,418217]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|del INT|tat
scaffold_104_(dbseq-nr_103)_[475352,483450]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_104_(dbseq-nr_103)_[483465,490081]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
