#TE	Order	Superfamily	Clade	Complete	Strand	Domains
scaffold_101_(dbseq-nr_100)_[11136,16180]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3
scaffold_101_(dbseq-nr_100)_[29039,38362]	LTR	Gypsy	gmr1	no	-	INT|gmr1
scaffold_101_(dbseq-nr_100)_[61905,68427]	LTR	Gypsy	v_clade	no	-	AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_103_(dbseq-nr_102)_[14647,20131]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|pyret INT|v_clade
scaffold_103_(dbseq-nr_102)_[20132,33069]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_103_(dbseq-nr_102)_[37514,43639]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_103_(dbseq-nr_102)_[7734,13901]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_105_(dbseq-nr_104)_[17170,30751]	mixture	mixture	mixture	unknown	+	AP|cog5550 RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_105_(dbseq-nr_104)_[9,5155]	LTR	Gypsy	v_clade	yes	-	GAG|pyret AP|del RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_106_(dbseq-nr_105)_[19115,24067]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|pyret INT|v_clade
scaffold_106_(dbseq-nr_105)_[35527,41650]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_106_(dbseq-nr_105)_[7882,13318]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_107_(dbseq-nr_106)_[43002,52671]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|17_6 INT|tat
scaffold_109_(dbseq-nr_108)_[24271,30186]	LTR	Copia	tork	no	-	AP|pseudovirus INT|tork RT|tork RNaseH|sire
scaffold_109_(dbseq-nr_108)_[35813,44541]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_109_(dbseq-nr_108)_[5361,10951]	LTR	Copia	copia	no	+	AP|copia INT|tork RT|1731 RNaseH|copia
scaffold_10_(dbseq-nr_9)_[1126259,1132172]	LTR	Copia	tork	no	-	AP|pseudovirus INT|tork RT|tork RNaseH|sire
scaffold_10_(dbseq-nr_9)_[27818,33461]	LTR	Copia	copia	yes	+	GAG|copia AP|copia INT|tork RT|1731 RNaseH|copia
scaffold_10_(dbseq-nr_9)_[34603,40904]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_10_(dbseq-nr_9)_[549184,555694]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_10_(dbseq-nr_9)_[560088,566556]	LTR	Gypsy	v_clade	no	?	GAG|v_clade AP|v_clade CHR|all INT|v_clade RNaseH|v_clade RT|v_clade
scaffold_10_(dbseq-nr_9)_[566557,571968]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_111_(dbseq-nr_110)_[22784,29295]	LTR	Gypsy	pyret	no	+	RT|v_clade RNaseH|pyret INT|pyret
scaffold_111_(dbseq-nr_110)_[33383,39500]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_112_(dbseq-nr_111)_[6510,19735]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|17_6 INT|gmr1
