#TE	Order	Superfamily	Clade	Complete	Strand	Domains
scaffold_1001_(dbseq-nr_1000)_[5177,12297]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|del INT|gmr1
scaffold_1004_(dbseq-nr_1003)_[6366,12271]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|a_clade INT|tat
scaffold_1006_(dbseq-nr_1005)_[1106,6567]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|copia RNaseH|sire
scaffold_1007_(dbseq-nr_1006)_[5447,12224]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|pyret CHR|retroelement
scaffold_100_(dbseq-nr_99)_[375464,377886]	LTR	Copia	tork	no	-	INT|tork
scaffold_100_(dbseq-nr_99)_[379133,385922]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_100_(dbseq-nr_99)_[387434,389443]	LTR	Gypsy	pyret	no	+	AP|pyret
scaffold_100_(dbseq-nr_99)_[493182,498977]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|pCretro RNaseH|sire
scaffold_1013_(dbseq-nr_1012)_[1102,7455]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|copia
scaffold_1018_(dbseq-nr_1017)_[1699,7320]	LTR	Copia	mixture	no	-	INT|retrofit RNaseH|sire
scaffold_101_(dbseq-nr_100)_[143262,155845]	LTR	Copia	copia	no	+	AP|ty1/copia INT|tork RT|copia RNaseH|copia
scaffold_101_(dbseq-nr_100)_[407137,412922]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|pCretro RNaseH|sire
scaffold_1021_(dbseq-nr_1020)_[1005,7361]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|copia
scaffold_1028_(dbseq-nr_1027)_[9190,14656]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|copia RNaseH|sire
scaffold_102_(dbseq-nr_101)_[100645,105869]	LTR	Copia	tork	no	-	INT|oryco RT|tork RNaseH|tork
scaffold_102_(dbseq-nr_101)_[18959,25804]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_102_(dbseq-nr_101)_[421290,429323]	LTR	Copia	copia	no	-	AP|ty1/copia INT|copia RT|tork RNaseH|copia
scaffold_102_(dbseq-nr_101)_[530240,537028]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|17_6 INT|gmr1
scaffold_103_(dbseq-nr_102)_[419905,426920]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_103_(dbseq-nr_102)_[509162,514879]	LTR	Copia	tork	no	+	INT|tork
scaffold_1043_(dbseq-nr_1042)_[7479,13476]	LTR	mixture	mixture	unknown	-	AP|ty1/copia ORFX|betaretroviridae INT|oryco RT|1731 RNaseH|codi_d
scaffold_1045_(dbseq-nr_1044)_[3984,11005]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_104_(dbseq-nr_103)_[165810,172300]	LTR	Copia	sire	no	+	AP|ty1/copia INT|tork RT|sire RNaseH|sire
scaffold_104_(dbseq-nr_103)_[188815,194977]	LTR	Copia	codi_I	no	-	RNaseH|codi_I
scaffold_104_(dbseq-nr_103)_[223945,231196]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
